Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
1b	30	old	NoComp	1	4	48	8.1	0.9	7.29	alive	0.661	44.85	121.3777778	64.42666667			
1a	32	old	NoComp	1	5	43	19.7	1.9	37.43	alive	0.754	32.3	98.75	79.72633343			
1b	33	young	NoComp	1	5	41	12.3	0.8	9.84	alive	0.696	44.45	141.7715618	84.50331126			
1b	34	old	NoComp	1	5	52	14.8	1.1	16.28	alive	0.776	35.4	107.8224101	65.68580921			
1b	35	young	NoComp	1	3	63	13.2	1	13.2	alive	0.723	52.2	133.5313002	81.66164443			
1a	36	old	NoComp	1	10	38	16.6	1.1	18.26	alive	0.742	37.8	252.8033473	168.241966			
1b	38	old	Comp	1	5	59	11.5	0.8	9.2	alive	0.714	39.9	99.53703704	79.00056148			
1a	45	young	Comp	1	6	31	16.6	1.3	21.58	alive	0.74	38.45	450.7042254	76.13333333			
1b	46	old	Comp	1	4	59	23.2	2.6	60.32	alive	0.636	44.6	159.9604743	69.88577362			
1b	48	old	Comp	1	5	26	30.9	4.8	148.32	alive	0.647	38.35	212.5961538	77.69936486			
1b	50	old	Comp	1	5	33	16.6	1.3	21.58	alive	0.683	36.3	237.4561404	72.77691108			
1a	53	young	Comp	1	3	71	9.1	0.6	5.46	alive	0.717	39	170.6896552	85.40065862			
1a	55	young	Comp	1	2	33	16.9	0.5	8.45	alive	0.743	32.6	114.5183888	83.94666667			
1a	57	young	Comp	1	5	39	12.6	1.8	22.68	alive	0.66	38.75	162.0066335	81.38181818			
1b	58	old	Comp	1	2	42	15.5	1	15.5	alive	0.744	41.7	167.5510204	79.19366451			
1a	59	young	Comp	1	2	30	19.3	1.6	30.88	alive	0.773	40.95	173.6464088	83.93881453			
1a	61	young	Comp	1	3	53	14	0.7	9.8	alive	0.761	38.4	185.6824513	79.76878613			
1a	63	young	Comp	1	5	55	30.3	1.7	51.51	alive	0.738	41.5	169.2715232	69.40239044			
1a	65	young	Comp	1	6	47	22.3	1.5	33.45	alive	0.741	33.4	206.8698061	65.62671045			
1a	66	old	Comp	1	9	38	19.4	1.4	27.16	alive	0.707	40.45	134.8993289	74.87046632			
1b	67	young	Comp	1	3	56	7.5	0.6	4.5	alive	0.498	49.1	120.6189821	84.45595855			
1b	69	young	Comp	1	3	51	11.4	0.9	10.26	alive	.	29.05	204.0506329	81.89550425			
1a	71	young	Comp	1	3	66	10.4	0.4	4.16	alive	0.776	32.8	164.8979592	83.7164751			
1a	72	old	Comp	1	6	77	22.7	1.4	31.78	alive	0.77	48.6	161.1969112	79.93697479			
2b	73	young	NoComp	1	6	117	8	0.5	4	alive	0.708	29	218.4375	48.29268293			
2a	74	old	NoComp	1	9	43	25.2	1.4	35.28	alive	0.796	41.4	194.2045455	40.20376176			
2b	75	young	NoComp	1	9	80	17.4	1.4	24.36	alive	0.77	32.3	227.3148148	57.29013255			
2a	76	old	NoComp	1	8	28	12.4	1.2	14.88	alive	0.764	40.05	165.7681941	58.95361381			
2b	77	young	NoComp	1	7	91	10.9	1.1	11.99	alive	0.684	34.45	167.833935	42.53246753			
2a	79	young	NoComp	1	8	76	12	1.4	16.8	alive	0.793	34.95	184.2152466	33.44481605			
2a	80	old	NoComp	1	9	18	14.3	1.1	15.73	alive	0.734	36.75	172.6315789	60			
2b	81	young	NoComp	1	14	117	16.6	1.1	18.26	alive	0.634	35.65	186.092437	33.95415473			
2b	82	old	NoComp	1	4	35	9	0.6	5.4	alive	0.622	38.35	192.4528302	51.38705416			
2a	83	young	NoComp	1	8	71	10.8	0.7	7.56	alive	0.785	31.85	178.4615385	64.72491909			
