"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.322435,-121.688107,1966-04-03,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.9137,-121.378799,1949-10-30,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.240107,-121.315573,1982-04-23,"GBIF","LD","LD","LD","General",4544,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.05527,-121.49317,1959-04-11,"GBIF","UCSB","UCSB","UCSB",NA,4856,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.704993,-121.15524,1996-01-24,"GBIF","ASU","ASU","ASU","Plants",4193,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.223648,-121.700889,1942-08-22,"GBIF","UCSB","UCSB","UCSB",NA,4856,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.29206,-121.56597,1962-07-24,"GBIF","SD","SD","SD",NA,4760,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.053833,-121.490667,2005-05-13,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.308734,-121.57957,1968-05-19,"GBIF","OBI","OBI","OBI",NA,4679,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.76769,-121.268799,1968-10-13,"GBIF","OBI","OBI","OBI",NA,4679,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.71572,-121.07483,1996-01-24,"GBIF","OBI","OBI","OBI",NA,4679,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.213241,-121.678596,1969-09-09,"GBIF","UCSB","UCSB","UCSB",NA,4856,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.0519,-121.4963,1958-04-26,"GBIF","UCSB","UCSB","UCSB",NA,4856,"specimen"
"Abies bracteata","Pinaceae","Abies venusta (Douglas ex Hook.) K.Koch","Pinaceae","Abies venusta","(Douglas ex Hook.) K. Koch","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.051,-121.49131,1962-11-12,"GBIF","UCR","UCR","UCR",NA,4853,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.31187,-121.56827,1964-06-30,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.9137,-121.378799,1949-10-30,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.31187,-121.56827,1964-06-30,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.051905,-121.496326,1985-04-19,"GBIF","TENN","TENN","TENN",NA,4822,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,35.81926,-121.27493,1991-05-26,"GBIF","DAV","DAV","DAV",NA,4338,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.294138,-121.581501,1962-07-24,"GBIF","SDSU","SDSU","SDSU",NA,4762,"specimen"
