location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
Ni,Ni_14,40.30,0.73,719.59,16.37,262.54,0.86,11.57,290.38,2.73
Ni,Ni_15,70.50,3.03,1610.67,12.39,296.24,0.83,6.79,185.68,2.47
Ni,Ni_16,33.30,,1066.77,13.31,261.46,0.83,7.08,258.79,3.44
Ni,Ni_17,56.40,1.43,1236.79,10.71,291.54,0.84,9.20,218.31,3.25
Ni,Ni_18,53.00,1.64,1165.86,11.61,273.22,0.85,12.35,277.44,2.73
Ni,Ni_19,49.80,1.45,1233.80,13.51,261.94,0.84,8.25,299.08,3.46
Ni,Ni_20,57.30,1.91,996.27,12.77,280.88,0.84,11.10,298.03,3.43
Di,Di_01,41.30,1.31,345.51,17.95,268.11,0.79,2.41,299.56,3.43
Di,Di_02,61.00,2.55,699.49,13.98,291.07,0.83,10.17,279.97,3.69
Di,Di_03,42.10,0.69,508.61,14.85,278.00,0.83,6.46,279.95,4.3
Di,Di_04,62.10,1.29,597.19,12.87,270.48,0.83,7.02,287.76,3.78
Di,Di_05,48.30,1.77,493.99,13.99,303.00,0.82,9.53,271.64,2.84
Di,Di_06,39.90,1.14,295.37,17.79,277.13,0.82,4.77,297.19,2.7
Di,Di_07,61.70,1.78,728.32,14.89,261.78,0.84,10.71,281.25,3.84
Di,Di_08,42.40,1.98,348.88,17.75,269.55,,,243.15,3.28
Di,Di_09,53.10,0.69,442.02,15.76,265.25,0.84,6.83,233.59,4.46
Di,Di_10,49.10,0.70,348.93,13.52,289.08,0.84,8.06,265.59,4.16
Di,Di_11,50.50,0.74,310.64,18.22,259.71,,,319.75,3.13
Di,Di_12,56.20,1.12,515.71,19.80,243.80,0.82,4.01,292.37,3.46
Di,Di_13,47.20,0.54,251.44,18.02,248.66,0.82,2.63,310.26,3.55
Di,Di_14,38.80,1.62,392.25,14.83,272.12,0.85,9.25,269.88,3.53
Di,Di_15,40.30,1.14,366.54,15.66,291.23,0.83,4.57,277.50,3.32
Di,Di_16,33.50,0.56,319.17,14.47,270.39,0.84,10.27,303.52,3.46
Di,Di_17,51.00,0.97,384.49,18.76,236.99,0.83,6.15,248.34,3.65
Di,Di_18,38.70,0.65,559.41,16.40,259.02,0.83,5.57,298.95,3.83
Di,Di_19,50.30,1.85,322.48,15.43,267.61,0.78,1.54,280.43,3.25
Di,Di_20,48.60,1.30,372.84,16.64,253.25,0.82,3.77,299.99,2.75
Er,Er_01,33.90,0.48,547.86,16.14,292.04,0.84,6.85,292.17,1.87
Er,Er_02,31.30,1.04,527.23,15.86,260.99,0.83,5.07,195.17,2.02
Er,Er_03,47.10,1.51,1073.37,16.45,272.73,0.84,5.19,257.99,3.3
Er,Er_04,40.00,1.31,573.26,13.81,294.85,0.84,7.85,230.35,2.69
Er,Er_05,49.90,1.53,551.92,23.89,203.52,0.84,6.27,241.45,2.38
Er,Er_06,58.80,1.25,1133.80,19.50,231.95,0.85,5.19,260.09,3.4
Er,Er_07,35.50,2.06,1025.84,14.12,292.24,0.85,7.95,264.56,3.04
Er,Er_08,53.30,1.59,832.00,20.00,231.24,0.85,12.18,209.99,4.23
Er,Er_09,39.50,1.86,721.02,15.76,267.54,0.85,5.12,267.46,2.62
Er,Er_10,40.70,,670.10,14.71,299.97,0.85,15.97,251.16,2.83
Er,Er_11,53.80,1.29,992.15,12.61,291.75,0.84,8.76,271.48,2.49
Er,Er_12,25.90,0.78,416.39,18.80,239.20,0.86,8.71,230.95,2.32
Er,Er_13,49.50,1.08,650.59,15.83,267.14,0.86,12.61,248.04,2.31
