Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403645.845,6463558.771
C_undulatum_LL_&_UTM,Single Plant,403648.68,6463558.798
C_undulatum_LL_&_UTM,Single Plant,403650.373,6463559.701
C_undulatum_LL_&_UTM,Single Plant,403651.148,6463557.712
C_undulatum_LL_&_UTM,Single Plant,403651.167,6463555.717
C_undulatum_LL_&_UTM,Single Plant,403649.759,6463554.595
C_undulatum_LL_&_UTM,Single Plant,403648.528,6463554.916
C_undulatum_LL_&_UTM,Single Plant,403648.72,6463554.586
C_undulatum_LL_&_UTM,Single Plant,403653.263,6463553.852
C_undulatum_LL_&_UTM,Single Plant,403656.09,6463554.766
C_undulatum_LL_&_UTM,Single Plant,403656.38,6463554.103
C_undulatum_LL_&_UTM,Single Plant,403657.54,6463551.343
C_undulatum_LL_&_UTM,Single Plant,403657.734,6463550.79
C_undulatum_LL_&_UTM,Single Plant,403657.07,6463551.117
C_undulatum_LL_&_UTM,Single Plant,403659.886,6463553.139
C_undulatum_LL_&_UTM,Single Plant,403662.255,6463552.496
C_undulatum_LL_&_UTM,Single Plant,403662.273,6463550.611
C_undulatum_LL_&_UTM,Single Plant,403653.681,6463539.666
C_undulatum_LL_&_UTM,Single Plant,403640.582,6463545.64
C_undulatum_LL_&_UTM,Single Plant,403635.318,6463552.575
C_undulatum_LL_&_UTM,Single Plant,403642.404,6463552.863
C_undulatum_LL_&_UTM,Single Plant,403633.584,6463556.106
C_undulatum_LL_&_UTM,Single Plant,403633.369,6463558.875
C_undulatum_LL_&_UTM,Single Plant,403637.841,6463565.68
C_undulatum_LL_&_UTM,Single Plant,403631.693,6463556.199
C_undulatum_LL_&_UTM,Single Plant,403631.556,6463550.655
C_undulatum_LL_&_UTM,Single Plant,403626.075,6463550.603
C_undulatum_LL_&_UTM,Single Plant,403626.363,6463550.051
C_undulatum_LL_&_UTM,Single Plant,403636.415,6463536.51
C_undulatum_LL_&_UTM,Single Plant,403632.661,6463533.704
C_undulatum_LL_&_UTM,Single Plant,403633.126,6463534.484
C_undulatum_LL_&_UTM,Single Plant,403633.368,6463538.921
C_undulatum_LL_&_UTM,Single Plant,403632.312,6463540.574
C_undulatum_LL_&_UTM,Single Plant,403632.882,6463540.357
C_undulatum_LL_&_UTM,Single Plant,403631.656,6463540.013
C_undulatum_LL_&_UTM,Single Plant,403648.358,6463552.919
C_undulatum_LL_&_UTM,Single Plant,403646.391,6463560.993
C_undulatum_LL_&_UTM,Single Plant,403584.052,6463306.316
C_undulatum_LL_&_UTM,Single Plant,403617.769,6463295.671
