"dryad_dataset_doi","dryad_version_id","dryad_file_id","source_file_path","original_row_number","scrubbed_species_binomial","raw_taxon","trait_name","raw_trait_name","trait_value","raw_trait_value","unit","raw_unit","standard_unit","expected_unit_class","latitude","longitude","elevation_m","date_collected","source_column_taxon","source_column_trait_name","source_column_trait_value","source_column_unit","qa_flags"
"doi:10.5061/dryad.701q8",4214,24177,"DryadPlantTraits/output/downloads/v4214/CompileData.csv",442,,,"growth_form","life.form","tree","tree","m2.kg-1","m2.kg-1","category","categorical",,,,"1994",,"life.form","life.form","trait.unit",""
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",102,"Luzula sylvatica","Luzula sylvatica","growth_form","lifeform","3","3","category",,"category","categorical",,,,,"Species","lifeform","lifeform",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: tree/shrub/herb/grass/vine/liana/subshrub/fern/moss/epiphyte/succulent/palm; got: 3]"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",1129,"Chenopodium vulvaria","Chenopodium vulvaria","seed_mass","seed mass","0.46","0.46","mg",,"mg","mass",,,,,"Species","seed mass","seed mass",,""
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",164,"Carex canescens","Carex canescens","growth_form","lifeform","3","3","category",,"category","categorical",,,,,"Species","lifeform","lifeform",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: tree/shrub/herb/grass/vine/liana/subshrub/fern/moss/epiphyte/succulent/palm; got: 3]"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",1084,"Cerastium pumilum","Cerastium pumilum","growth_form","lifeform","2","2","category",,"category","categorical",,,,,"Species","lifeform","lifeform",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: tree/shrub/herb/grass/vine/liana/subshrub/fern/moss/epiphyte/succulent/palm; got: 2]"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",254,"Phragmites australis","Phragmites australis","seed_mass","seed mass","0.11","0.11","mg",,"mg","mass",,,,,"Species","seed mass","seed mass",,""
"doi:10.5061/dryad.gk15h50",9248,40279,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b407f41a8/Piston_et_al_2018_Removal_F.ind.csv",73,,,"leaf_phenology","Phenology","Loose","Loose","category",,"category","categorical",,,,,,"Phenology","Phenology",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: evergreen/deciduous/semi-deciduous/drought-deciduous/cold-deciduous; got: loose]"
"doi:10.5061/dryad.gk15h50",9248,40279,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b407f41a8/Piston_et_al_2018_Removal_F.ind.csv",4,,,"leaf_phenology","Phenology","Tight","Tight","category",,"category","categorical",,,,,,"Phenology","Phenology",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: evergreen/deciduous/semi-deciduous/drought-deciduous/cold-deciduous; got: tight]"
"doi:10.5061/dryad.gk15h50",9248,40279,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b407f41a8/Piston_et_al_2018_Removal_F.ind.csv",64,,,"leaf_phenology","Phenology","Loose","Loose","category",,"category","categorical",,,,,,"Phenology","Phenology",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: evergreen/deciduous/semi-deciduous/drought-deciduous/cold-deciduous; got: loose]"
"doi:10.5061/dryad.gk15h50",9248,40279,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b407f41a8/Piston_et_al_2018_Removal_F.ind.csv",35,,,"leaf_phenology","Phenology","Tight","Tight","category",,"category","categorical",,,,,,"Phenology","Phenology",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: evergreen/deciduous/semi-deciduous/drought-deciduous/cold-deciduous; got: tight]"
"doi:10.5061/dryad.gk15h50",9248,40279,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b407f41a8/Piston_et_al_2018_Removal_F.ind.csv",70,,,"leaf_phenology","Phenology","Loose","Loose","category",,"category","categorical",,,,,,"Phenology","Phenology",,"P2_CATEGORICAL_VOCAB_MISMATCH[expected one of: evergreen/deciduous/semi-deciduous/drought-deciduous/cold-deciduous; got: loose]"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",139,"Casearia nitida","Casearia nitida","specific_leaf_area","SLA","226.2130154","226.2130154","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",119,"Casearia sylvestris","Casearia sylvestris","specific_leaf_area","SLA","126.1685048","126.1685048","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",238,"Coursetia elliptica","Coursetia elliptica","leaf_dry_matter_content","LDMC",,,"mg_per_g",,"mg_per_g","ratio",,,,,"species","LDMC","LDMC",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",229,"Allophyllusc occidentalisc","Allophyllusc occidentalisc","specific_leaf_area","SLA","209.9437764","209.9437764","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",251,"Pisonia macranthocarpa","Pisonia macranthocarpa","leaf_dry_matter_content","LDMC",,,"mg_per_g",,"mg_per_g","ratio",,,,,"species","LDMC","LDMC",,""
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpetpuvB/dryad_extract_1145b2ca4107c/File_2.txt",26,"Plantago lanceolata","Plantago lanceolata","plant_height","Height","7","7","m",,"m","length",,,,,"Species","Height","Height",,""
