phylo.name,Species notes,leaf.fresh.weight.g,leaf.dry.weight.g,root.dry.weight.g,stem.dry.weight.g,leaf.area.cm.sq,experiment,all.dry.weight.g,block,harvest.minus.germ.date,average.seed.weight
Aegilops_crassa,,0.1482,0.0325,0.0304,0.0195,6.3277,B,0.0824,3,31,0.019742991
Aegilops_crassa,,0.0853,0.0181,0.0219,0.0061,5.0435,B,0.0461,8,19,0.019742991
Aegilops_crassa,,0.1335,0.0263,0.0384,0.0097,6.6503,B,0.0744,3,24,0.019742991
Aegilops_crassa,,0.0836,0.0141,0.0196,0.00422,5.2458,B,0.03792,4,19,0.019742991
Aegilops_crassa,,0.0146,0.00213,0.00268,0.00103,0.9094,B,0.00584,4,6,0.019742991
Aegilops_crassa,,0.7065,0.1467,0.15477,0.09188,38.25,B,0.39335,6,38,0.019742991
Aegilops_crassa,,0.0436,0.0083,0.0099,0.0027,3.0466,B,0.0209,3,11,0.019742991
Aegilops_crassa,,0.0193,0.00293,0.00262,0.00181,1.2267,B,0.00736,8,6,0.019742991
Aegilops_crassa,,0.024,0.0095,0.01984,0.00169,1.5232,B,0.03103,6,48,0.019742991
Aegilops_speltoides,,0.0139,0.0036,0.00269,0.00103,0.7886,A,0.00732,8,7,0.00507
Aegilops_speltoides,,0.5763,0.0914,0.0941,0.0334,21.8773,A,0.2189,4,25,0.00507
Aegilops_speltoides,,3.3645,0.6402,1.1673,0.3538,155.7338,A,2.1613,3,39,0.00507
Aegilops_speltoides,,1.2531,0.2318,0.2744,0.0889,57.1682,A,0.5951,2,32,0.00507
Aegilops_speltoides,,0.4596,0.0722,0.0875,0.02378,17.9485,A,0.18348,7,25,0.00507
Aegilops_speltoides,,0.0087,0.0011,0.00185,0.00085,0.508,A,0.0038,5,7,0.00507
Aegilops_speltoides,,1.984,0.2901,0.55807,0.14591,56.5133,A,0.99408,5,39,0.00507
Aegilops_speltoides,,0.1445,0.0291,0.02999,0.00715,8.1469,A,0.06624,7,18,0.00507
