",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"54,""Pouteria vernicosa"",""Neotropical"",""forest"","""",NA,NA,0.737,"""",""Zanneetal2009"","""",25.7208,2802,30.58445,0.49585,4.4,9,36,4.5,29.75,44,20.5,43"
"55,""Pouteria macrocarpa"",""Neotropical"",""forest"",""n"",NA,NA,0.77,"""",""Zanneetal2009"","""",25.8319666666667,1930,53.8149333333333,26.483,20.8382,8.25,32.75,4.75,13,51.5,18.5,48.25"
"56,""Pouteria guianensis"",""Neotropical"",""forest"",""n"",NA,NA,0.901780834,"""",""Zanneetal2009"","""",24.9461657894737,2179.05263157895,56.5408394736842,16.5977947368421,19.7488289473684,12.0945945945946,32.7162162162162,6.27027027027027,22.5,50.0135135135135,24.8918918918919,42.3783783783784"
"57,""Pouteria obscura"",""Neotropical"",""forest"","""",NA,NA,0.64,"""",""Zanneetal2009"","""",25.9,2113,78.4705,56.6067,25.4474,11.5,28.5,0,19,48.5,17,54.5"
"58,""Pouteria speciosa"",""Neotropical"",""forest"",""n"",NA,NA,0.607005,"""",""Zanneetal2009"","""",22.9167,2032.5,47.68225,0,0,15.75,30.75,12.75,32.75,50.5,25.25,44"
"59,""Pouteria venosa"",""Neotropical"",""forest"",""n"",25,NA,0.92,"""",""Zanneetal2009"",""Oliveira-Filhoetal2007"",23.8299619047619,1850.57142857143,51.7968142857143,12.7228136363636,21.9965181818182,11.125,34.4,5.15,17.5,52.25,18.8,46.75"
"60,""Pouteria anomala"",""Neotropical"",""forest"",""n"",NA,NA,0.69389863,"""",""Zanneetal2009"","""",26.9972,1961.33333333333,80.9121,15.5535,19.1282666666667,8.75,30.75,3.75,7.25,53.75,20.5,49"
"61,""Pouteria aningeri"",""Afrotropical"",""forest"",""n"",46,NA,0.444528757,"""",""Zanneetal2009"",""JStorPlants"",25.3088375,1907,68.728025,10.561475,11.70758375,14.5,26.6875,19.875,15.6875,54.5,18.0625,55.3125"
"62,""Pouteria cuspidata"",""Neotropical"",""forest"",""n"",NA,NA,0.9,"""",""Zanneetal2009"","""",24.854328,2309.68,47.752032,6.316988,10.470972,11.66,32.7,6.66,30.52,49.34,21.82,45.56"
"65,""Pouteria multiflora"",""Neotropical"",""forest"",""n"",NA,NA,0.77,"""",""Zanneetal2009"","""",22.17420625,2187.1875,39.53725625,2.55467857142857,17.5931086666667,24.1875,37.75,7.9375,37,54,27.21875,35"
"66,""Pouteria andarahiensis"",""Neotropical"",""savanna"",""n"",12,NA,NA,"""","""",""Oliveira-Filhoetal2007"",20.42535,952.666666666667,50.1839916666667,30.6047833333333,34.0793083333333,13.7083333333333,32.625,7.95833333333333,14.1666666666667,57,17.5,49.9583333333333"
"67,""Pouteria caimito"",""Neotropical"",""forest"",""n"",NA,NA,0.784242857,"""",""Zanneetal2009"","""",24.7246272727273,2422.77272727273,45.3188136363636,9.38465,14.6694654545455,15.4090909090909,31.6363636363636,5.77272727272727,29.3636363636364,52.2727272727273,24.1136363636364,44.4545454545455"
