Block,Species_source,Plant_Number,Rust_4th,Rust_17th,Height
4,16,Plant3,0,0,63
4,16,Plant4,0,0,45
4,16,Plant5,0,1,53
4,5,Plant1,0,0,NA
4,5,Plant2,1,1,59
4,5,Plant3,0,0,NA
4,5,Plant4,0,0,NA
4,5,Plant5,0,0,NA
4,23,Plant1,1,1,60
4,23,Plant2,2,1,46
4,23,Plant3,0,0,NA
4,23,Plant4,0,0,NA
4,23,Plant5,0,0,NA
4,11,Plant1,1,1,83
4,11,Plant2,1,0,68
4,11,Plant3,1,1,58
4,11,Plant4,2,0,69
4,11,Plant5,2,0,44
4,24,Plant1,1,0,58
4,24,Plant2,1,1,74
4,24,Plant3,2,1,76
4,24,Plant4,0,0,NA
4,24,Plant5,1,1,50
4,22,Plant1,0,0,63
4,22,Plant2,0,0,NA
4,22,Plant3,0,0,57
4,22,Plant4,0,0,NA
4,22,Plant5,0,0,52
4,7,Plant1,0,0,NA
4,7,Plant2,0,0,NA
4,7,Plant3,0,0,NA
4,7,Plant4,0,0,NA
4,7,Plant5,0,0,53
4,40,Plant1,0,0,NA
4,40,Plant2,2,2,55
4,40,Plant3,0,0,NA
4,40,Plant4,1,1,48
4,40,Plant5,2,2,63
4,28,Plant1,0,0,NA
4,28,Plant2,1,0,69
4,28,Plant3,1,1,70
4,28,Plant4,2,1,78
4,28,Plant5,1,1,75
4,17,Plant1,1,1,65
4,17,Plant2,1,1,66
4,17,Plant3,2,2,81
4,17,Plant4,0,0,NA
4,17,Plant5,1,1,65
4,8,Plant1,0,0,NA
4,8,Plant2,1,1,42
4,8,Plant3,0,0,NA
4,8,Plant4,0,0,NA
4,8,Plant5,0,0,NA
4,6,Plant1,0,0,76
4,6,Plant2,0,0,NA
4,6,Plant3,0,0,60
4,6,Plant4,1,1,66
4,6,Plant5,0,0,58
4,41,Plant1,0,0,60
4,41,Plant2,0,0,65
4,41,Plant3,0,0,69
4,41,Plant4,0,0,67
4,41,Plant5,0,0,63
4,37,Plant1,2,1,69
4,37,Plant2,0,0,NA
4,37,Plant3,0,0,NA
4,37,Plant4,2,1,72
4,37,Plant5,2,1,58
4,34,Plant1,0,1,52
4,34,Plant2,1,1,68
4,34,Plant3,1,1,58
4,34,Plant4,0,0,NA
4,34,Plant5,0,0,23
4,12,Plant1,1,0,27
4,12,Plant2,1,1,59
4,12,Plant3,1,1,73
4,12,Plant4,0,1,61
4,12,Plant5,0,0,NA
4,29,Plant1,3,2,83
4,29,Plant2,3,2,80
4,29,Plant3,3,2,81
4,29,Plant4,0,0,NA
4,29,Plant5,0,0,NA
4,33,Plant1,1,1,58
4,33,Plant2,0,0,NA
4,33,Plant3,0,0,NA
4,33,Plant4,1,1,75
4,33,Plant5,0,0,56
4,4,Plant1,0,0,NA
4,4,Plant2,0,0,40
4,4,Plant3,0,0,36
4,4,Plant4,0,0,57
4,4,Plant5,0,0,46
4,9,Plant1,3,2,68
4,9,Plant2,2,1,84
4,9,Plant3,0,0,NA
4,9,Plant4,2,1,45
4,9,Plant5,2,2,73
4,30,Plant1,0,0,NA
4,30,Plant2,0,0,NA
4,30,Plant3,0,0,NA
4,30,Plant4,3,2,50
4,30,Plant5,1,0,43
4,27,Plant1,3,1,76
4,27,Plant2,0,0,NA
4,27,Plant3,0,0,NA
4,27,Plant4,0,0,NA
4,27,Plant5,0,0,NA
4,18,Plant1,1,0,48
4,18,Plant2,0,0,NA
4,18,Plant3,1,0,46
4,18,Plant4,1,1,56
4,18,Plant5,3,2,73
4,15,Plant1,0,0,NA
4,15,Plant2,0,0,NA
4,15,Plant3,0,0,NA
4,15,Plant4,0,0,NA
4,15,Plant5,0,0,NA
4,38,Plant1,0,0,NA
4,38,Plant2,0,0,NA
4,38,Plant3,0,0,NA
4,38,Plant4,0,0,NA
4,38,Plant5,0,0,NA
4,26,Plant1,0,0,NA
4,26,Plant2,0,0,NA
4,26,Plant3,2,1,67
4,26,Plant4,1,1,56
4,26,Plant5,1,1,56
4,19,Plant1,2,1,79
4,19,Plant2,3,1,71
4,19,Plant3,0,0,NA
4,19,Plant4,1,1,65
4,19,Plant5,1,1,59
4,3,Plant1,0,0,NA
4,3,Plant2,0,0,49
4,3,Plant3,0,0,NA
4,3,Plant4,0,0,30
4,3,Plant5,0,0,NA
4,35,Plant1,1,0,58
4,35,Plant2,0,0,61
4,35,Plant3,1,0,67
4,35,Plant4,0,0,NA
4,35,Plant5,1,1,55
4,14,Plant1,2,2,51
4,14,Plant2,1,0,59
4,14,Plant3,0,0,NA
4,14,Plant4,1,1,67
4,14,Plant5,1,1,63
4,32,Plant1,0,0,68
4,32,Plant2,0,0,49
4,32,Plant3,0,0,63
4,32,Plant4,0,0,59
4,32,Plant5,0,0,62
4,31,Plant1,2,1,68
4,31,Plant2,1,0,67
4,31,Plant3,0,0,NA
4,31,Plant4,1,0,48
4,31,Plant5,3,1,64
5,32,Plant1,0,0,73
5,32,Plant2,0,0,64
5,32,Plant3,0,0,67
5,32,Plant4,0,0,64
5,32,Plant5,0,0,70
5,40,Plant1,0,0,NA
5,40,Plant2,0,0,NA
5,40,Plant3,2,1,73
5,40,Plant4,2,1,67
5,40,Plant5,1,1,76
5,31,Plant1,0,0,61
5,31,Plant2,1,1,54
5,31,Plant3,0,0,NA
5,31,Plant4,0,0,NA
5,31,Plant5,0,0,NA
5,14,Plant1,0,0,61
5,14,Plant2,0,0,60
5,14,Plant3,1,1,66
5,14,Plant4,0,0,NA
5,14,Plant5,1,1,62
5,8,Plant1,1,0,58
5,8,Plant2,1,0,62
5,8,Plant3,1,0,75
5,8,Plant4,0,0,61
5,8,Plant5,1,0,69
5,37,Plant1,1,1,75
5,37,Plant2,1,1,71
5,37,Plant3,1,1,69
5,37,Plant4,4,3,68
5,37,Plant5,1,0,54
5,33,Plant1,0,0,53
5,33,Plant2,1,0,74
5,33,Plant3,0,1,46
5,33,Plant4,1,1,66
5,33,Plant5,0,0,NA
5,10,Plant1,1,1,63
5,10,Plant2,0,0,NA
5,10,Plant3,1,1,61
5,10,Plant4,0,0,NA
5,10,Plant5,0,0,NA
5,23,Plant1,5,4,75
5,23,Plant2,4,4,78
5,23,Plant3,4,3,72
5,23,Plant4,2,2,76
5,23,Plant5,1,1,40
5,30,Plant1,2,2,56
5,30,Plant2,1,0,43
5,30,Plant3,0,0,NA
5,30,Plant4,1,1,64
5,30,Plant5,1,1,57
5,17,Plant1,1,1,56
5,17,Plant2,0,0,NA
5,17,Plant3,0,0,NA
5,17,Plant4,1,1,76
5,17,Plant5,0,0,NA
5,28,Plant1,0,0,38
5,28,Plant2,0,0,NA
5,28,Plant3,0,0,NA
5,28,Plant4,1,0,71
5,28,Plant5,0,0,66
5,7,Plant1,0,0,NA
5,7,Plant2,0,0,NA
5,7,Plant3,0,0,28
5,7,Plant4,0,0,76
