NA,NA,NA,no_plant,no_survival,no_survival,no_survival,no_survival,no_survival,,no_survival,,no_survival,no_survival,no_survival,no_survival,no_survival,no_survival
Plot,Rep,Entry,6/12/12,6/27/12,7/27/12,8/24/12,9/29/12,10/27/12,%surviorship,4/27/13,%winterkill,5/31/13,6/29/13,8/30/13,5/1/14,6/5/14,8/12/14
178,8,11,10,10,9,9,9,9,0.9,8,0.11,6,6,6,2,2,2
179,8,28,10,10,10,10,10,10,1,10,0,10,10,10,10,10,8
180,8,26,10,10,8,8,8,8,0.8,7,0.13,7,6,3,3,3,3
181,7,5,10,10,8,7,6,4,0.4,4,0,4,2,2,NA,NA,NA
182,7,31,10,10,9,9,9,8,0.8,8,0,7,7,6,6,5,5
183,7,21,10,10,10,10,10,10,1,8,0.2,7,7,7,3,3,2
184,7,16,10,10,9,9,9,9,0.9,9,0,9,9,8,4,3,3
185,6,31,10,9,7,7,7,7,0.7,7,0,5,5,5,3,3,3
186,6,2,10,10,10,10,10,10,1,10,0,10,10,9,9,9,9
187,6,9,10,10,10,10,10,10,1,8,0.2,8,8,8,2,1,1
188,6,35,10,9,6,3,1,1,0.1,0,1,0,0,NA,NA,NA,NA
189,5,23,9,9,9,9,9,9,1,8,0.11,8,8,6,NA,NA,NA
190,5,16,10,9,9,8,8,8,0.8,7,0.13,7,7,4,1,1,1
191,5,14,10,9,9,9,9,9,0.9,9,0,8,8,7,1,1,1
192,5,35,10,5,5,3,3,3,0.3,2,0.33,1,0,NA,NA,NA,NA
193,8,15,10,10,7,7,7,7,0.7,5,0.29,5,5,5,NA,NA,NA
194,8,37,10,10,9,9,8,8,0.8,8,0,8,8,7,7,7,7
195,8,14,10,10,10,10,10,9,0.9,9,0,9,9,4,2,2,2
196,8,17,10,7,3,3,3,3,0.3,2,0.33,2,2,2,1,1,1
197,7,30,8,8,6,6,6,4,0.5,6,-0.5,6,6,6,3,2,2
198,7,6,10,9,8,7,7,7,0.7,7,0,7,7,7,6,6,5
199,7,3,10,8,8,8,7,7,0.7,7,0,7,7,3,3,3,2
200,7,25,10,7,6,6,6,6,0.6,6,0,5,5,5,2,2,1
201,6,32,7,7,6,6,6,6,0.86,4,0.33,4,4,3,NA,5,NA
202,6,37,10,10,10,10,10,10,1,10,0,10,10,10,10,10,9
203,6,7,10,10,9,9,9,9,0.9,6,0.33,6,6,6,1,NA,NA
204,6,10,4,4,3,3,3,3,0.75,3,0,2,2,2,2,2,2
205,5,8,10,9,6,6,6,6,0.6,6,0,6,6,5,1,1,1
206,5,1,10,10,9,8,5,5,0.5,5,0,5,5,2,1,1,NA
207,5,34,10,8,5,4,6,4,0.4,4,0,4,4,4,2,2,2
208,5,12,10,10,7,7,7,7,0.7,6,0.14,6,5,5,1,1,1
209,8,36,10,8,6,6,6,5,0.5,4,0.2,4,4,3,3,NA,3
210,8,4,10,10,10,10,10,10,1,9,0.1,9,9,8,8,8,8
211,8,22,5,5,3,3,3,3,0.6,3,0,3,3,3,2,2,2
212,8,35,4,4,4,4,4,3,0.75,3,0,3,3,3,1,1,1
213,7,13,10,10,9,8,7,7,0.7,6,0.14,6,6,6,6,6,6
214,7,29,10,9,8,8,8,8,0.8,8,0,8,8,8,7,7,7
215,7,7,7,7,6,3,3,3,0.43,3,0,3,3,2,NA,NA,NA
216,7,18,10,9,9,9,6,4,0.4,4,0,4,4,1,NA,NA,NA
217,6,11,10,10,8,8,8,7,0.7,7,0,6,6,6,1,1,1
