species,genus,family,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,source_dataset,source_url,source_record_id,project_pi,retrieved_utc
Opuntia polyacantha,Opuntia,Cactaceae,flower color,Pink,,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3118550,,2026-03-28 23:42:38 UTC
Opuntia engelmannii,Opuntia,Cactaceae,whole plant dispersal syndrome,abiotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3121406,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia fragilis,Opuntia,Cactaceae,seed mass,20.85,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3131577,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Opuntia xvaseyi,Opuntia,Cactaceae,seed mass,4.859,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3131979,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Cylindropuntia leptocaulis,Cylindropuntia,Cactaceae,flower color,Yellow,,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3145742,,2026-03-28 23:42:38 UTC
Cylindropuntia arbuscula,Cylindropuntia,Cactaceae,flower color,Yellow,,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3145777,,2026-03-28 23:42:38 UTC
Carnegiea gigantea,Carnegiea,Cactaceae,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3142760,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Carnegiea gigantea,Carnegiea,Cactaceae,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3142902,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Carnegiea gigantea,Carnegiea,Cactaceae,seed mass,1.3,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3142938,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Carnegiea gigantea,Carnegiea,Cactaceae,seed mass,1.007983,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3142952,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
