source_dataset,source_url,source_record_id,species,genus,family,trait_group,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,project_pi,access,retrieved_utc
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432129,Echinocactus polycephalus,Echinocactus,Cactaceae,body_size,seed mass,7.273,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432147,Opuntia littoralis,Opuntia,Cactaceae,body_size,seed mass,7.294,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432153,Ferocactus viridescens,Ferocactus,Cactaceae,body_size,seed mass,0.775,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432154,Ferocactus viridescens,Ferocactus,Cactaceae,body_size,seed mass,0.772,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432170,Cylindropuntia acanthocarpa,Cylindropuntia,Cactaceae,body_size,seed mass,13.664,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432171,Opuntia basilaris,Opuntia,Cactaceae,body_size,seed mass,56.043,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://ucjeps.berkeley.edu/EFT.html,4432172,Opuntia basilaris,Opuntia,Cactaceae,body_size,seed mass,27.608,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://www.americanforests.org/resources/bigtrees/register.php,4432571,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,whole plant height,13.1064,m,Maximum height,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.americanforests.org/resources/bigtrees/register.php,4432569,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,whole plant height,11.2776,m,Maximum height,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.americanforests.org/resources/bigtrees/register.php,4432570,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,whole plant height,11.5824,m,Maximum height,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,33560,Pachycereus pecten-aboriginum,Pachycereus,Cactaceae,body_size,diameter at breast height (1.3 m),8,cm,,19.5,-105.05,,James S. MIller,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,47159,Opuntia brasiliensis,Opuntia,Cactaceae,body_size,diameter at breast height (1.3 m),6,cm,,-17.7667,-63.0667,,James S. MIller,public,2026-03-28 22:54:12 UTC
