site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
GZ025,18.71143746,1.316699216,0.730575,15.956795,55.76836014,1.22569601,0.26462624,Shrub community
GZ026,20.69352841,1.367144299,0.578925,15.01146083,39.99325562,1.10279407,0.278419,Shrub community
GZ027,7.597919699,0.591589946,0.7777,18.50049167,41.7771225,3.95659984,0.8820046,Shrub community
GZ028,17.77750726,1.415517398,0.545025,12.02949833,56.2179451,1.48753293,0.38846391,Shrub community
GZ029,15.41853792,1.510008761,0.745175,9.442483083,84.36431122,6.92635281,1.07089701,Shrub community
GZ030,20.60319635,0.918017749,0.5992,12.25901417,42.0022583,1.03879708,0.2911259,Shrub community
GZ031,34.22335498,2.198245172,0.5875,12.20156,57.07063293,4.49996513,0.74994225,Shrub community
GZ032,17.06265482,1.313691033,0.590775,12.7208375,50.04651642,3.71308484,1.3068434,Shrub community
GZ033,16.4210103,1.456210188,0.419425,14.00384833,64.05625916,1.72723418,0.63976358,Shrub community
GZ034,19.73561046,1.235707077,0.47575,14.06159333,58.90369797,1.52910774,0.33437177,Shrub community
GZ035,15.60940307,1.367482239,0.4596,13.83065583,63.3456192,1.54932705,0.52559613,Shrub community
GZ036,13.25524229,0.828102603,0.4152,15.36323667,32.36417007,1.45385488,0.42395557,Shrub community
GZ037,13.8018175,1.025532097,0.4837,14.254735,47.14025879,1.37769699,0.30520709,Shrub community
GZ038,21.73712697,1.319360545,0.667025,13.37319333,63.15539932,1.16058227,0.30263169,Shrub community
GZ039,22.71145043,1.588770759,0.6281,14.9436,50.51659012,1.78311691,0.73651549,Shrub community
GZ040,15.41602055,1.105931668,0.575275,14.17016917,64.85295868,2.39039217,0.58128788,Shrub community
GZ041,24.04558753,1.296582777,0.527125,14.39930333,60.52004242,1.51514475,0.41540982,Shrub community
GZ042,24.56155539,1.792202972,0.66325,15.45540417,44.39065552,4.82387155,0.63510151,Shrub community
GZ043,20.19689997,1.119226578,0.617125,14.64141917,61.46662521,1.61011762,0.34042766,Shrub community
GZ044,19.95053316,1.122517716,0.63045,14.95209,65.27568817,1.69239881,0.33562509,Shrub community
GZ045,18.21376987,1.156087952,0.610375,15.8126575,51.03110504,1.87428274,0.45099434,Shrub community
GZ046,15.26041309,1.341330339,0.4837,14.254735,47.14025879,1.83759644,0.58179276,Shrub community
GZ047,17.41740657,1.296765941,0.504025,13.98915417,32.56871033,1.77646512,0.61679249,Shrub community
GZ048,20.90221472,1.217486963,0.504025,13.98915417,32.56847382,2.55641136,0.6415042,Shrub community
GZ049,14.30285929,0.965645735,0.539225,13.58621083,39.86335754,3.10929863,0.84602294,Shrub community
GZ050,25.00283003,1.350194734,0.46865,13.35319333,51.12776566,1.52412875,0.54147119,Shrub community
GZ051,22.66207816,1.117359251,NA,14.47810583,34.37412262,0.97725828,0.27193199,Shrub community
GZ052,8.92475764,0.637046422,NA,14.51739167,35.38825607,0.96029484,0.28057295,Shrub community
