"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid";"latitude";"longitude"
"3847";"Sphagneticola trilobata";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Wedelia triloba (L.) Hitchc.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sphagneticola trilobata_Samoa";"Sphagneticola trilobata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3848";"Euploca procumbens";"Aunu'u";"Samoa";0;"0";"Heliotropiaceae";"Boraginales";"glonpier";0;"Heliotropium procumbens Mill.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euploca procumbens_Samoa";"Euploca procumbens_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3849";"Carica papaya";"Aunu'u";"Samoa";0;"0";"Caricaceae";"Brassicales";"glon";0;"Carica papaya L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Carica papaya_Samoa";"Carica papaya_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3850";"Luffa cylindrica";"Aunu'u";"Samoa";1;"0";"Cucurbitaceae";"Cucurbitales";"glon";0;"Luffa cylindrica (L.) Roemer";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Luffa cylindrica_Samoa";"Luffa cylindrica_Aunu'u";"glon";1;0;"1";"-14.284039";"-170.553464"
"3851";"Acalypha lanceolata";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Acalypha lanceolata Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Acalypha lanceolata_Samoa";"Acalypha lanceolata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3852";"Bischofia javanica";"Aunu'u";"Samoa";0,5;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0,5;"Bischofia javanica Bl.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bischofia javanica_Samoa";"Bischofia javanica_Aunu'u";"glonpier";0;0;"1,150";"-14.284039";"-170.553464"
"3853";"Euphorbia hirta";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hirta (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia hirta_Samoa";"Euphorbia hirta_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3854";"Euphorbia hypericifolia";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hypericifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia hypericifolia_Samoa";"Euphorbia hypericifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3855";"Euphorbia prostrata";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce prostrata (Ait.) Small";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia prostrata_Samoa";"Euphorbia prostrata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3856";"Euphorbia thymifolia";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce thymifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia thymifolia_Samoa";"Euphorbia thymifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
