Quadrat;Species;PropCover;Height1;Height2;Height3;Height4;Height5;Height6;Height7;Height8;Height9;Height10;LeafArea1;LeafArea2;LeafArea3;LeafArea4;LeafArea5;LeafArea6;LeafArea7;LeafArea8;LeafArea9;LeafArea10;SLA1;SLA2;SLA3;SLA4;SLA5;SLA6;SLA7;SLA8;SLA9;SLA10
14;Bis_pel;0.17;4.4;4.1;4.4;3.4;3.4;5.1;5.4;2.5;4.8;2.6;56.35;61.35;98.1;56.85;33;123.05;87.05;55.15;63.6;71.7;28.75;33.342;33.711;32.21;30.275;25.529;17.604;21.972;17.12;16.713
14;Ech_pla;0.17;15;12;14;18;12;10;7;18;16;NA;97.45;109.7;89.95;135.8;71.75;61.45;68;62.95;69.6;NA;15.144;14.636;16.735;20.924;20.442;18.207;17.824;16.809;11.959;NA
14;Pla_lag;0.37;4.5;4.3;4.9;4.2;2.5;5;7;4.4;3.9;3.5;74.15;98.1;129.75;120.65;102.1;326.65;270.05;92.65;126.55;75;19.513;23.525;18.777;27.021;29.723;17.879;13.895;17.597;15.238;12.126
14;Tri_che;0.06;4.8;4;5.2;4.5;3.5;4.5;NA;4.5;4;2;20.8;69.7;53.75;53.05;NA;31.8;NA;42.5;23.2;45.6;21.224;23.587;33.282;28.989;NA;22.714;NA;20.142;20;19.2
15;Ant_arv;0.075;10;10;8;6.5;6;6.7;6;8;5.3;9.5;27.9;48.8;29.7;32.4;38.45;59.7;57.55;38.2;37.6;115.55;16.858;17.941;18.797;24.089;23.589;22.07;21.595;22.604;13.824;17.984
15;Bis_pel;0.075;4.8;4.2;3.9;4;4.6;5;3.5;5.2;4.1;5.7;63.8;65.8;133.9;119.4;118.5;82.65;65.05;78;73.9;64.55;23.85;28.12;37.04;31.298;32.377;32.668;32.854;21.788;20.082;17.981
15;Bro_hor;0.026;8;12;9;7;7;7.5;12;7.5;8.3;16;NA;80.95;55.65;77.65;42.25;46.3;146.85;71.75;59.7;175.65;NA;26.029;30.163;43.994;30.839;38.107;33.604;34.248;25.404;23.833
15;Ech_pla;0.075;8.5;NA;4.1;12;20;13.5;16;15;18;21;139;NA;38.6;42.5;284.15;116.25;88.35;191.25;82.45;438.4;20.087;NA;30.039;29.412;19.705;18.75;19.809;20.811;16.623;13.706
15;Fil_pyr;0.026;2.5;3.2;7.5;7;4;4.2;6;6;2;6.4;24.35;NA;17.45;22.6;8.45;12.95;13.25;12.7;9.25;16.95;69.571;NA;45.921;52.558;37.556;55.106;49.074;72.571;59.677;34.948
15;Lol_rig;0.026;14.1;12.5;11;14;10;17;18;15;12;11;134.5;91.9;55.45;140.4;105.65;150.95;169.65;163.8;82.4;85.65;25.865;26.37;23.446;28.83;38.629;31.383;24.03;29.25;18.517;23.117
15;Pla_lag;0.075;6.5;5.5;5;6.3;3.4;4.8;5.1;3.3;7.5;2;335.9;229.05;150.55;141.2;173.5;156.35;234.55;76.4;278.1;53.4;29.285;19.386;23.487;18.978;23.557;18.68;22.872;21.193;14.313;21.532
15;Tri_che;0.075;5.5;6.6;5.4;5.4;3.4;6.4;7.1;5;6.1;4.8;92.15;78.15;65.65;88.25;46.05;64.2;80.05;55.95;69;63.4;22.669;23.19;21.811;21.214;28.079;24;23.544;27.16;21.975;24.961
15;Tri_glo;0.548;6.4;3.2;6.7;8.5;8.2;7.5;5.6;3.7;6.1;5.8;102.35;38.1;66.6;137.45;134.9;78.6;77.25;51.4;71.6;94.75;23.448;30.85;25.615;33.321;29.231;27.676;28.558;26.224;23.247;21.984
16;Ant_arv;0.033;9;9;13;8.5;8.5;12;12;8;8.2;8;24.15;57.95;130.1;26.6;104.95;43.6;37;20.05;20.1;14.1;24.03;32.194;20.265;31.294;22.072;25.057;24.503;24.157;24.969;22.56
16;Ant_cor;0.201;7;8.5;7;4.5;9;5.6;8.5;7;7;6;169.6;118.15;169.2;101.8;165.3;149.65;213.4;151.95;138.35;62.3;17.192;15.556;16.728;17.86;18.418;18.25;19.251;19.619;20.361;17.599
16;Bis_pel;0.092;3;3.5;2;4;6.5;3.5;6;5;4.5;4.5;47.6;78.45;24.25;35.95;94.15;51.25;54.9;73.75;41.65;103.2;21.203;27.869;27.714;28.76;25.412;24.639;21.404;23.265;23.598;31.32
16;Ech_pla;0.408;19;14;17;9;9;10;23;14;9;11;83.1;64.8;71.3;46.9;79.4;47.5;135.25;76.3;28.25;41.85;15;23.06;19.778;15.302;18.793;22.093;18.798;21.676;21.082;21.684
16;Pla_lag;0.201;4.2;5;5;6.5;4;7.5;4.1;4.2;4.4;5.5;96.2;193.15;186.45;160.4;104.3;171.25;118.45;90.75;68;164.85;16.033;20.289;16.442;17.173;20.135;16.286;21.152;25.243;17.966;18.522
16;Psi_inc;0.033;5;5.5;5;8;8.5;5.5;9.5;8;8;7.5;1.55;0.9;1.35;8.35;11.25;5.15;6.65;4.35;1.45;0.95;8.158;6.429;9;13.917;18.443;17.759;8.11;14.746;5.686;2.346
16;Tol_bar;0.033;10;7;14;11;9.5;8;12;11;6;12;122.35;53.15;342.6;162.75;188.15;129.25;421.4;313.05;300.2;458.6;20.392;24.437;29.22;21.429;34.428;29.611;28.55;32.525;29.288;27.128
17;Tri_pan;0.041;16;25;14;21;23;16;20;15;19;22;38.65;34.8;37.95;69.5;119.45;71;151.55;53;95.1;74.15;47.716;34.975;35.467;39.601;39.422;42.643;31.442;28.726;38.896;31.221
17;Bis_pel;0.115;11;7;8;8;9;7;5;5;3;5;225.45;60.55;139.3;257.55;239;218.95;79.7;129.3;170.35;94.5;37.859;47.121;44.434;55.566;45.611;46.834;47.3;49.923;60.088;52.793
17;Bro_hor;0.115;15;13;15;16;12;17;10;15;20;15;60.95;60.5;66.35;66.1;15.8;81.3;19.15;63.1;58.6;26.25;16.931;20.033;14.027;17.191;11.791;18.604;13.439;19.209;14.798;22.826
17;Bro_tec;0.25;23;16;14;24;17;14;23;32;26;13;90.1;27.3;65.55;NA;56.2;98.7;187.9;146.9;163.55;58.05;24.651;18.958;25.909;NA;26.89;22.98;24.954;29.767;27.815;27.775
17;Ech_pla;0.25;23;22;22;23;12;23;24;25;20;21;154.35;240.75;118.45;126.7;121.7;191;180.5;116;118.75;239.3;19.738;19.605;23.34;19.139;23.006;17.467;21.062;22.723;21.789;20.638
17;Pla_lag;0.115;4.5;3.2;5.3;8;4.2;4.3;6.5;7;3.5;8;185.8;77.2;278.35;363.75;101.95;134.3;243;158.4;93.75;314.75;23.684;32.369;24.622;20.418;28.678;23.582;22.647;21.493;22.563;30.633
17;Vul_cil;0.115;15;10;11;7;16;11;10;13;15;10;28;38.35;NA;30.15;25.5;17;21;33.4;NA;9.6;40;46.768;NA;24.815;24.757;17.895;19.905;23.857;NA;16.842
18;Tri_pan;0.035;19;15;14.5;17;18;21;11;16;23;27;96.25;54;27.6;65.35;86.3;103.85;58;45.1;44.2;301.45;41.309;53.465;46;39.606;38.962;50.048;40.845;30.067;24.624;34.89
