higher_plant_group,class,superorder,order,scrubbed_family,scrubbed_genus,scrubbed_species_binomial,scrubbed_author,scrubbed_taxonomic_status
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pseudorhipsalis,Pseudorhipsalis acuminata,Cufod.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pediocactus,Pediocactus knowltonii,L.D. Benson,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria mieheana,Tiegel,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Parodia,Parodia scopa,(Spreng.) N.P. Taylor,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pachycereus,Pachycereus militaris,(Audot) D.R. Hunt,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Matucana,Matucana celendinensis,F. Ritter,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria recurvispina,Engelm.,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Frailea,Frailea cataphracta,(Dams) Britton & Rose,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinocereus,Echinocereus polyacanthus,(Otto ex Salm-Dyck) N.P. Taylor,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Melocactus,Melocactus curvispinus,Fern. Alonso & Xhonn.,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinopsis,Echinopsis candicans,(Gillies ex Salm-Dyck) D.R.Hunt,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Sulcorebutia,Sulcorebutia juckeri,Gertel,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Opuntia,Opuntia cognata,(F. Ritter) P.J. Braun & Esteves,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cereus,Cereus devauxii,Foerster,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinopsis,Echinopsis callichroma,Cárdenas,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Stenocereus,Stenocereus thurberi,,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinocactus,Echinocactus pepinianus,K. Schum.,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cereus,Cereus uruguayanus,R. Kiesling,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Coryphantha,Coryphantha robustispina,(Lem.) N.P. Taylor,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria heyderi,Muehlenpf.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Strombocactus,Strombocactus turbiniformis,FriÄ,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Coryphantha,Coryphantha robustispina,(Schott ex Engelm.) Britton & Rose,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Parodia,Parodia splendens,Cárdenas,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cephalocereus,Cephalocereus rhodanthus,(Gürke) Werderm.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Ferocactus,Ferocactus haematacanthus,Bravo ex Backeb. & F.M. Knuth,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinopsis,Echinopsis antezanae,(Cárdenas) Friedrich & G.D. Rowley,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Heliocereus,Heliocereus speciosus,,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia lindsayi,(Rebman) Rebman,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Opuntia,Opuntia megacantha,A. Berger,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Matucana,Matucana haynei,(Backeb.) Mottram,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pilosocereus,Pilosocereus arrabidae,(Lem.) Byles & G.D. Rowley,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria hutchisoniana,(G.E. Linds.) D.R. Hunt,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pseudoacanthocereus,Pseudoacanthocereus sicariguensis,(Croizat & Tamayo) N.P.Taylor,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Coleocephalocereus,Coleocephalocereus buxbaumianus,(F. Ritter) N.P. Taylor & Zappi,Accepted
